name,cloud,parent,type,id
OCI_HR_PSDR,oci,ocid1.tenancy.oc1..aaaaaaaagpv57qwynovixlqm77uyd5bfdw6m5eavevxrudwurrjaky3xjmzq,tenant,ocid1.tenancy.oc1..aaaaaaaagpv57qwynovixlqm77uyd5bfdw6m5eavevxrudwurrjaky3xjmzq
comp-psft-db - ocid1.tenancy.oc1..aaaaaaaagpv57qwynovixlqm77uyd5bfdw6m5eavevxrudwurrjaky3xjmzq - lf7cgq,oci,ocid1.tenancy.oc1..aaaaaaaagpv57qwynovixlqm77uyd5bfdw6m5eavevxrudwurrjaky3xjmzq,compartment,ocid1.compartment.oc1..aaaaaaaagaxclvv4qsjb37r6fjbyaoq4u2cktey2ghh5ndslzh3oqblf7cgq
comp-dr-drill - ocid1.tenancy.oc1..aaaaaaaagpv57qwynovixlqm77uyd5bfdw6m5eavevxrudwurrjaky3xjmzq - qr4lba,oci,ocid1.tenancy.oc1..aaaaaaaagpv57qwynovixlqm77uyd5bfdw6m5eavevxrudwurrjaky3xjmzq,compartment,ocid1.compartment.oc1..aaaaaaaajkwu4adxxrhikobh24icdotw6k4eislpd2oqb7lxkqlyk2qr4lba
comp-network - ocid1.tenancy.oc1..aaaaaaaagpv57qwynovixlqm77uyd5bfdw6m5eavevxrudwurrjaky3xjmzq - sjhzha,oci,ocid1.tenancy.oc1..aaaaaaaagpv57qwynovixlqm77uyd5bfdw6m5eavevxrudwurrjaky3xjmzq,compartment,ocid1.compartment.oc1..aaaaaaaafe3qit72fklyzplbj7njyzscuzinjre3hgv3isms4lb5fosjhzha
comp-public-drill - ocid1.tenancy.oc1..aaaaaaaagpv57qwynovixlqm77uyd5bfdw6m5eavevxrudwurrjaky3xjmzq - lhigda,oci,ocid1.tenancy.oc1..aaaaaaaagpv57qwynovixlqm77uyd5bfdw6m5eavevxrudwurrjaky3xjmzq,compartment,ocid1.compartment.oc1..aaaaaaaayoqw2ysmcigw7hg7zyoefasxanjm33dxtgwa3b62267z4plhigda
ODACompartment - ocid1.tenancy.oc1..aaaaaaaagpv57qwynovixlqm77uyd5bfdw6m5eavevxrudwurrjaky3xjmzq - u2xusa,oci,ocid1.tenancy.oc1..aaaaaaaagpv57qwynovixlqm77uyd5bfdw6m5eavevxrudwurrjaky3xjmzq,compartment,ocid1.compartment.oc1..aaaaaaaalulbyndhbdkhlblb2ow5duh66yjebkeik5lekziqruu5z4u2xusa
comp-mgmt - ocid1.tenancy.oc1..aaaaaaaagpv57qwynovixlqm77uyd5bfdw6m5eavevxrudwurrjaky3xjmzq - bsop4a,oci,ocid1.tenancy.oc1..aaaaaaaagpv57qwynovixlqm77uyd5bfdw6m5eavevxrudwurrjaky3xjmzq,compartment,ocid1.compartment.oc1..aaaaaaaadabcxu44lng3sv2zz7mcbnlcg2idyzgjxdetvwhor4qoxdbsop4a
comp-public - ocid1.tenancy.oc1..aaaaaaaagpv57qwynovixlqm77uyd5bfdw6m5eavevxrudwurrjaky3xjmzq - uklasq,oci,ocid1.tenancy.oc1..aaaaaaaagpv57qwynovixlqm77uyd5bfdw6m5eavevxrudwurrjaky3xjmzq,compartment,ocid1.compartment.oc1..aaaaaaaahmih7a3364wftcumfgsxnkv4oag3b7rcpex3khbwxsgmtluklasq
comp-dr - ocid1.tenancy.oc1..aaaaaaaagpv57qwynovixlqm77uyd5bfdw6m5eavevxrudwurrjaky3xjmzq - 6r6cgq,oci,ocid1.tenancy.oc1..aaaaaaaagpv57qwynovixlqm77uyd5bfdw6m5eavevxrudwurrjaky3xjmzq,compartment,ocid1.compartment.oc1..aaaaaaaa5yhjc46mbeslrpyqwbbfr4u2ja3qnlh6ms6bmxna43q3cj6r6cgq
comp-psft-app-drill - ocid1.tenancy.oc1..aaaaaaaagpv57qwynovixlqm77uyd5bfdw6m5eavevxrudwurrjaky3xjmzq - lo6veq,oci,ocid1.tenancy.oc1..aaaaaaaagpv57qwynovixlqm77uyd5bfdw6m5eavevxrudwurrjaky3xjmzq,compartment,ocid1.compartment.oc1..aaaaaaaa5r7qrffbbi4pn6stz5wq5lfsxnakp6ifhgjspix44iqko4lo6veq
comp-psft-db-drill - ocid1.tenancy.oc1..aaaaaaaagpv57qwynovixlqm77uyd5bfdw6m5eavevxrudwurrjaky3xjmzq - 5nh6wa,oci,ocid1.tenancy.oc1..aaaaaaaagpv57qwynovixlqm77uyd5bfdw6m5eavevxrudwurrjaky3xjmzq,compartment,ocid1.compartment.oc1..aaaaaaaag7jmxjq5nnztuttetyhmi6gqkgnzkspez7y2gjhge4oita5nh6wa
ManagedCompartmentForPaaS - ocid1.tenancy.oc1..aaaaaaaagpv57qwynovixlqm77uyd5bfdw6m5eavevxrudwurrjaky3xjmzq - ge7pgq,oci,ocid1.tenancy.oc1..aaaaaaaagpv57qwynovixlqm77uyd5bfdw6m5eavevxrudwurrjaky3xjmzq,compartment,ocid1.compartment.oc1..aaaaaaaaudv4kmiylmcpfb77i2ljolvvzypfjzh5f6crqw6ibfhumgge7pgq
comp-psft-app - ocid1.tenancy.oc1..aaaaaaaagpv57qwynovixlqm77uyd5bfdw6m5eavevxrudwurrjaky3xjmzq - hslipa,oci,ocid1.tenancy.oc1..aaaaaaaagpv57qwynovixlqm77uyd5bfdw6m5eavevxrudwurrjaky3xjmzq,compartment,ocid1.compartment.oc1..aaaaaaaahiuwpm6dmvbg5xiitdlbldrb26kw62x7do3cm4roby7p77hslipa
Wistron Corp.,azure,de0795e0-d7c0-4eeb-b9bb-bc94d8980d3b,tenant,de0795e0-d7c0-4eeb-b9bb-bc94d8980d3b
HRDXPZ-QAS - wistron-HRDXPZ-qas (Wistron Corp.),azure,de0795e0-d7c0-4eeb-b9bb-bc94d8980d3b,management_group,wistron-HRDXPZ-qas::de0795e0-d7c0-4eeb-b9bb-bc94d8980d3b
WWSPDB-PRD - wistron-WWSPDB-prd (Wistron Corp.),azure,de0795e0-d7c0-4eeb-b9bb-bc94d8980d3b,management_group,wistron-WWSPDB-prd::de0795e0-d7c0-4eeb-b9bb-bc94d8980d3b
GPM-DEV - wistron-GPM-dev (Wistron Corp.),azure,de0795e0-d7c0-4eeb-b9bb-bc94d8980d3b,management_group,wistron-GPM-dev::de0795e0-d7c0-4eeb-b9bb-bc94d8980d3b
GPM - wistron-GPM (Wistron Corp.),azure,de0795e0-d7c0-4eeb-b9bb-bc94d8980d3b,management_group,wistron-GPM::de0795e0-d7c0-4eeb-b9bb-bc94d8980d3b
GPM-QAS - wistron-GPM-qas (Wistron Corp.),azure,de0795e0-d7c0-4eeb-b9bb-bc94d8980d3b,management_group,wistron-GPM-qas::de0795e0-d7c0-4eeb-b9bb-bc94d8980d3b
FINDW-PRD - wistron-FINDW-prd (Wistron Corp.),azure,de0795e0-d7c0-4eeb-b9bb-bc94d8980d3b,management_group,wistron-FINDW-prd::de0795e0-d7c0-4eeb-b9bb-bc94d8980d3b
WILES - wistron-WILES (Wistron Corp.),azure,de0795e0-d7c0-4eeb-b9bb-bc94d8980d3b,management_group,wistron-WILES::de0795e0-d7c0-4eeb-b9bb-bc94d8980d3b
CIM-QAS - wistron-CIM-qas (Wistron Corp.),azure,de0795e0-d7c0-4eeb-b9bb-bc94d8980d3b,management_group,wistron-CIM-qas::de0795e0-d7c0-4eeb-b9bb-bc94d8980d3b
CIM - wistron-CIM (Wistron Corp.),azure,de0795e0-d7c0-4eeb-b9bb-bc94d8980d3b,management_group,wistron-CIM::de0795e0-d7c0-4eeb-b9bb-bc94d8980d3b
Decommissioned - wistron-decommissioned (Wistron Corp.),azure,de0795e0-d7c0-4eeb-b9bb-bc94d8980d3b,management_group,wistron-decommissioned::de0795e0-d7c0-4eeb-b9bb-bc94d8980d3b
WistronIT - WistronIT (Wistron Corp.),azure,de0795e0-d7c0-4eeb-b9bb-bc94d8980d3b,management_group,WistronIT::de0795e0-d7c0-4eeb-b9bb-bc94d8980d3b
SDM-PRD - wistron-sdm-prd (Wistron Corp.),azure,de0795e0-d7c0-4eeb-b9bb-bc94d8980d3b,management_group,wistron-sdm-prd::de0795e0-d7c0-4eeb-b9bb-bc94d8980d3b
